epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0386,1.96684,3.02363,1.74484,0.25878,0.19733,0.16035,0.07735,2.07186,2.80319,1.86429,0.0671542,0.000331776,0.000331776
2,76.9731,1.82542,2.39688,1.61452,0.19472,0.3116,0.16926,0.07037,1.99164,2.89394,1.82767,0.0341323,0.00064316,0.00064316
3,113.258,1.80086,2.30011,1.6128,0.41161,0.3705,0.33275,0.1604,1.88123,2.41979,1.68749,0.00108831,0.000932545,0.000932545
4,148.53,1.75923,2.20112,1.59613,0.38546,0.45651,0.38382,0.18361,1.74607,2.13494,1.60564,0.000901,0.000901,0.000901
5,184.084,1.67641,2.06121,1.54885,0.44882,0.47239,0.42709,0.20168,1.76936,1.97808,1.57921,0.000868,0.000868,0.000868
6,219.16,1.65443,2.04676,1.53036,0.47959,0.47888,0.45233,0.23731,1.67749,1.96848,1.53708,0.000835,0.000835,0.000835
7,254.638,1.61657,1.96724,1.49941,0.5212,0.4493,0.45822,0.24406,1.61462,1.82654,1.49206,0.000802,0.000802,0.000802
8,291.461,1.58222,1.9021,1.48204,0.54361,0.48396,0.50106,0.26639,1.66169,1.81927,1.53383,0.000769,0.000769,0.000769
9,327.943,1.55211,1.85008,1.45158,0.58025,0.52217,0.53795,0.2899,1.60428,1.71019,1.45566,0.000736,0.000736,0.000736
10,365.16,1.53789,1.80363,1.44132,0.61227,0.49237,0.55387,0.29487,1.59992,1.85783,1.49031,0.000703,0.000703,0.000703
11,401.968,1.50616,1.76306,1.41863,0.68152,0.56342,0.61189,0.34592,1.50708,1.64738,1.43005,0.00067,0.00067,0.00067
12,438.525,1.49252,1.73157,1.41891,0.70419,0.57607,0.64585,0.36721,1.51,1.53939,1.3954,0.000637,0.000637,0.000637
13,473.765,1.49059,1.70475,1.39657,0.6855,0.60863,0.66283,0.36449,1.49414,1.55838,1.37132,0.000604,0.000604,0.000604
14,509.11,1.46689,1.70076,1.38967,0.64196,0.58166,0.63098,0.35251,1.5291,1.63876,1.4126,0.000571,0.000571,0.000571
15,544.975,1.43786,1.63951,1.36946,0.67194,0.60131,0.66292,0.37839,1.45564,1.46257,1.34544,0.000538,0.000538,0.000538
16,581.121,1.42099,1.6046,1.36871,0.66617,0.57637,0.63878,0.35363,1.51447,1.54042,1.41909,0.000505,0.000505,0.000505
17,616.55,1.40571,1.57567,1.34994,0.62974,0.6568,0.69296,0.3934,1.43579,1.47151,1.33232,0.000472,0.000472,0.000472
18,651.864,1.39802,1.55346,1.34907,0.69416,0.63407,0.69572,0.40032,1.43972,1.4006,1.36933,0.000439,0.000439,0.000439
19,687.077,1.37727,1.53146,1.32731,0.72088,0.67452,0.72809,0.42312,1.40793,1.30924,1.30742,0.000406,0.000406,0.000406
20,722.829,1.35543,1.49002,1.31711,0.73023,0.65923,0.72724,0.43047,1.36185,1.32206,1.28745,0.000373,0.000373,0.000373
21,769.387,1.35759,1.37372,1.33664,0.73323,0.67454,0.74835,0.43759,1.39589,1.29193,1.30581,0.00034,0.00034,0.00034
22,791.067,1.33031,1.29996,1.30585,0.75363,0.70518,0.77954,0.46564,1.34069,1.25305,1.26914,0.000307,0.000307,0.000307
23,812.722,1.31687,1.24845,1.29773,0.73342,0.71519,0.77988,0.47236,1.37814,1.24004,1.29465,0.000274,0.000274,0.000274
24,834.401,1.28744,1.21386,1.28154,0.76671,0.71403,0.79294,0.47811,1.34494,1.18365,1.27256,0.000241,0.000241,0.000241
25,854.766,1.27802,1.18929,1.27445,0.80158,0.70597,0.80829,0.49312,1.35154,1.15673,1.26261,0.000208,0.000208,0.000208
26,875.042,1.25656,1.14745,1.26592,0.78754,0.74523,0.81907,0.5076,1.30766,1.10013,1.24333,0.000175,0.000175,0.000175
27,895.527,1.21756,1.1157,1.23771,0.79885,0.74171,0.82053,0.50907,1.30259,1.09234,1.23759,0.000142,0.000142,0.000142
28,915.94,1.22251,1.10893,1.24771,0.82299,0.76769,0.83939,0.52172,1.30393,1.06007,1.25217,0.000109,0.000109,0.000109
29,936.188,1.21445,1.08821,1.23794,0.79116,0.78416,0.84214,0.53193,1.29134,1.05525,1.24131,7.6e-05,7.6e-05,7.6e-05
30,956.477,1.19246,1.04166,1.22356,0.81131,0.78727,0.85266,0.53609,1.2848,1.03357,1.23213,4.3e-05,4.3e-05,4.3e-05
